firstname,f_his,f_whi,f_bla,f_asi,f_ai,f_oth
KELLY,0.000278456,0.003186896,0.000455414,0.000664921,0.002258356,0.001694505
KELSEY,5.46E-06,6.57E-05,1.79E-05,5.99E-06,0,0.000242072
KELVIN,6.55E-05,3.01E-05,0.000839391,0.000353427,0.000225836,0
KEN,2.73E-05,0.00019291,7.14E-05,0.000922504,0,0
KENDAL,5.46E-06,1.23E-05,2.68E-05,0,0,0
KENDALL,1.09E-05,0.000104436,0.000142875,2.40E-05,0,0
KENDRA,1.09E-05,0.000195191,0.000303609,1.80E-05,0.000225836,0.000484144
KENDRICK,0,8.67E-06,0.000116086,1.80E-05,0,0
KENIA,0.000120118,2.28E-06,2.68E-05,0,0,0
KENNA,0,1.41E-05,1.79E-05,0,0,0
KENNETH,0.000726169,0.005262392,0.004714875,0.001623367,0.002484192,0.004599371
KENNY,5.46E-05,8.71E-05,0.000125016,0.000778737,0.000225836,0.000484144
KENT,2.18E-05,0.000492993,0.000187523,0.000317485,0,0.000242072
KENTON,0,3.92E-05,4.46E-05,5.99E-06,0.000225836,0
KENYA,5.46E-06,5.02E-06,0.000303609,0,0,0.000484144
KENYON,5.46E-06,1.14E-05,1.79E-05,2.40E-05,0,0
KEREN,2.73E-05,1.32E-05,8.93E-06,1.80E-05,0,0
KERI,2.18E-05,0.000177861,1.79E-05,1.80E-05,0,0.000242072
KERIN,0,1.00E-05,0,0,0,0
KERMIT,0,2.78E-05,8.04E-05,0,0,0
KERRI,2.73E-05,0.000226658,2.68E-05,1.80E-05,0,0
KERRIE,0,5.56E-05,8.93E-06,0,0,0
KERRY,6.01E-05,0.000607918,0.000303609,8.99E-05,0.000451671,0.000242072
KERSTIN,0,2.33E-05,0,0,0.000451671,0
KETAN,0,3.19E-06,0,0.000167728,0,0.000242072
KEVAN,0,1.55E-05,0,0,0,0
KEVEN,5.46E-06,2.28E-05,1.79E-05,1.20E-05,0,0
KEVIN,0.00065519,0.006234241,0.00372368,0.002851375,0.00203252,0.003146938
KHALED,1.09E-05,1.78E-05,1.79E-05,8.99E-05,0.000451671,0
KHALID,5.46E-06,1.87E-05,3.57E-05,0.000263572,0.000451671,0
KHALIL,0,1.60E-05,3.57E-05,2.40E-05,0,0
KHANG,0,0,0,0.000101835,0,0
KHANH,0,9.12E-07,0,0.000814679,0.000225836,0.000242072
KHOA,0,9.12E-07,8.93E-06,0.000287534,0,0
KHOI,5.46E-06,4.56E-07,0,0.000239611,0,0
KI,0,1.82E-06,8.93E-06,0.00042531,0,0
KIA,0,6.38E-06,0.000142875,3.00E-05,0,0
KIEN,0,4.56E-07,0,0.000197679,0,0
KIERAN,1.09E-05,2.74E-05,0,0,0,0
KIERSTEN,5.46E-06,1.50E-05,1.79E-05,0,0,0
KIET,0,9.12E-07,0,0.000257582,0,0.000242072
KIEU,0,0,0,0.000107825,0,0
KILEY,0,1.32E-05,8.93E-06,0,0,0
KIM,0.000136498,0.001241375,0.001268016,0.001886939,0.001129178,0.002904866
KIMBALL,0,1.09E-05,0,0,0,0
KIMBER,0,2.28E-05,1.79E-05,0,0,0
KIMBERLEE,1.64E-05,0.000105804,8.93E-06,3.00E-05,0.000225836,0
KIMBERLEY,3.82E-05,0.000191542,0.000223242,3.00E-05,0,0.000484144
KIMBERLI,0,1.32E-05,1.79E-05,5.99E-06,0,0
KIMBERLIE,5.46E-06,2.33E-05,8.93E-06,0,0,0
KIMBERLY,0.000573291,0.004130469,0.003232547,0.000515164,0.002258356,0.004115226
KIN,0,0,0,0.000443281,0,0
KING,1.09E-05,3.65E-06,5.36E-05,0.000275553,0.000225836,0.000242072
KINGA,0,7.75E-06,0,0,0,0
KIP,0,5.38E-05,0,5.99E-06,0,0
KIRA,5.46E-06,3.79E-05,4.46E-05,0,0,0
KIRAN,5.46E-06,8.67E-06,0,0.000557096,0.000451671,0
KIRBY,1.09E-05,5.75E-05,7.14E-05,3.00E-05,0.000225836,0
KIRK,2.18E-05,0.000493449,0.000241102,8.99E-05,0.000677507,0.000242072
KIRSTEN,1.64E-05,0.000229851,8.93E-06,1.20E-05,0.000225836,0
KIRSTIN,5.46E-06,3.60E-05,0,1.20E-05,0,0
KIRT,0,1.78E-05,8.93E-06,5.99E-06,0,0
KISHORE,0,3.19E-06,0,0.00020966,0,0
KIT,0,1.60E-05,0,0.000233621,0,0.000242072
KITTY,5.46E-06,3.01E-05,1.79E-05,0.000101835,0.000225836,0
KLAUS,5.46E-06,4.20E-05,0,0,0,0
KOJI,0,0,0,8.99E-05,0,0
KONG,0,0,0,0.000179709,0,0.000242072
KONRAD,1.09E-05,1.60E-05,8.93E-06,5.99E-06,0,0
KONSTANTIN,0,2.28E-05,0,1.80E-05,0,0
KONSTANTINOS,5.46E-06,2.19E-05,0,0,0,0
KOREY,0,1.78E-05,5.36E-05,0,0,0
KORI,0,3.42E-05,8.93E-06,0,0,0
KORY,0,5.38E-05,1.79E-05,1.20E-05,0,0
KOSTAS,0,8.21E-06,0,0,0,0
KOU,0,0,0,0.000113815,0,0
KRAIG,5.46E-06,3.69E-05,1.79E-05,5.99E-06,0,0
KRIS,3.28E-05,0.000197927,1.79E-05,0.000143767,0,0.000242072
KRISHNA,1.09E-05,1.55E-05,1.79E-05,0.000545116,0.000677507,0.000484144
KRISTA,3.82E-05,0.000355265,3.57E-05,2.40E-05,0,0
KRISTAL,2.18E-05,2.46E-05,3.57E-05,1.20E-05,0.000225836,0
KRISTAN,1.64E-05,3.47E-05,0,1.20E-05,0,0
KRISTEN,0.000109198,0.001112769,0.000125016,4.19E-05,0.000225836,0.000484144
KRISTI,6.55E-05,0.000451948,9.82E-05,0.000119806,0.000903342,0.000484144
KRISTIAN,3.28E-05,4.42E-05,8.93E-06,0,0,0
KRISTIE,2.73E-05,0.000206136,5.36E-05,8.39E-05,0.000225836,0.000242072
KRISTIN,8.19E-05,0.00115883,0.000116086,0.000101835,0,0
KRISTINA,0.000136498,0.000512147,0.000142875,0.000113815,0.000225836,0.000484144
KRISTINE,9.83E-05,0.000680431,6.25E-05,0.000263572,0.000225836,0.000968289
KRISTOFER,1.09E-05,3.06E-05,0,1.20E-05,0,0
KRISTOFFER,0,1.69E-05,8.93E-06,3.00E-05,0,0
KRISTOPHER,3.28E-05,0.000195647,4.46E-05,2.40E-05,0.000225836,0
KRISTY,2.73E-05,0.000322885,9.82E-05,8.99E-05,0,0.000242072
KRISTYN,0,2.60E-05,0,0,0,0
KRYSTA,0,1.00E-05,0,0,0,0
KRYSTAL,6.01E-05,7.94E-05,0.000241102,5.99E-06,0.000225836,0.000242072
KRYSTLE,2.18E-05,1.55E-05,7.14E-05,5.99E-06,0,0.000242072
KRYSTYNA,5.46E-06,3.10E-05,0,5.99E-06,0.000225836,0
KRZYSZTOF,0,6.34E-05,0,5.99E-06,0,0
KULWANT,5.46E-06,1.37E-06,0,0.000179709,0,0
KULWINDER,0,1.82E-06,0,0.000179709,0.000677507,0
KUMAR,0,5.93E-06,0,0.00020367,0.000677507,0
KUN,0,0,0,0.000293524,0,0
KUO,0,0,0,0.000131786,0,0
KURT,2.18E-05,0.00074747,0.000142875,7.79E-05,0,0.000484144
KURTIS,0,8.21E-05,0,3.00E-05,0,0
KWANG,0,1.82E-06,0,0.000389368,0,0
KWOK,0,0,0,0.000335456,0,0
KWONG,0,0,0,0.000107825,0,0
KY,0,3.65E-06,0,0.000191689,0,0.000242072
KYAW,0,0,0,0.000125796,0,0
KYLA,0,2.01E-05,0,0,0,0
KYLE,4.91E-05,0.001093158,0.000312539,0.000233621,0.000677507,0.000968289
KYLIE,0,2.51E-05,1.79E-05,5.99E-06,0,0
KYMBERLY,0,1.28E-05,1.79E-05,5.99E-06,0,0
KYONG,5.46E-06,2.28E-06,8.93E-06,0.000275553,0,0
KYRA,0,2.37E-05,7.14E-05,1.20E-05,0,0
KYU,0,0,0,0.00020367,0,0
KYUNG,5.46E-06,2.74E-06,0,0.0010483,0.000225836,0
LACEY,0,7.62E-05,2.68E-05,0,0,0
LACY,5.46E-06,4.33E-05,7.14E-05,0,0.000225836,0
LADONNA,0,4.79E-05,0.000303609,5.99E-06,0,0.000242072
LAEL,0,1.05E-05,0,0,0,0
LAI,0,4.56E-07,8.93E-06,0.000467242,0,0
LAILA,1.64E-05,1.87E-05,1.79E-05,5.99E-05,0,0
LAIRD,0,6.84E-06,0,0,0,0
LAKISHA,0,1.37E-06,0.00027682,0,0,0
LAKSHMI,1.09E-05,4.10E-06,0,0.000347436,0.000225836,0.000242072
LAM,0,0,0,0.000539126,0,0
LAMAR,0,2.46E-05,0.000178594,0,0,0.000242072
LAMONT,0,1.60E-05,0.000312539,5.99E-06,0,0
LAN,1.09E-05,6.84E-06,8.93E-06,0.000916513,0,0
LANA,2.18E-05,0.000190174,9.82E-05,7.19E-05,0,0.000242072
LANCE,8.19E-05,0.000533126,0.000232172,0.00022164,0.001129178,0.000484144
LANDON,0,3.88E-05,2.68E-05,0,0,0
LANE,5.46E-06,6.93E-05,4.46E-05,1.20E-05,0,0.000484144
LANETTE,1.09E-05,2.28E-05,3.57E-05,0,0,0
LANI,0,3.37E-05,8.93E-06,8.39E-05,0,0
LANNY,1.09E-05,3.65E-05,1.79E-05,3.00E-05,0,0
LARA,3.82E-05,0.000141376,1.79E-05,1.80E-05,0.000225836,0
LARAINE,5.46E-06,1.92E-05,3.57E-05,1.20E-05,0,0
LARISA,1.09E-05,5.38E-05,0,5.99E-06,0,0
LARISSA,2.73E-05,5.38E-05,5.36E-05,3.59E-05,0,0
LARRY,0.00066611,0.002742701,0.003536156,0.000551106,0.003161698,0.002904866
LARS,5.46E-06,4.88E-05,0,0,0,0
LARUE,0,9.58E-06,0,0,0,0
LARYSA,0,8.67E-06,0,0,0,0
LASZLO,0,2.37E-05,0,5.99E-06,0,0
LATANYA,0,4.56E-07,0.00027682,0,0,0
LATASHA,1.64E-05,3.19E-06,0.000634008,0,0,0.000242072
LATISHA,5.46E-06,5.93E-06,0.000232172,0,0,0
LATONYA,0,9.12E-07,0.000553641,0,0.000451671,0
LATOYA,2.18E-05,1.82E-06,0.000759023,0,0,0
LATRICE,5.46E-06,9.12E-07,0.000258961,0,0,0
LAUNA,0,8.21E-06,0,0,0,0
LAURA,0.002904675,0.004015544,0.000642938,0.000497194,0.002935863,0.003146938
LAURALEE,0,1.00E-05,0,0,0,0
LAUREEN,5.46E-06,4.29E-05,2.68E-05,1.20E-05,0,0.000242072
LAUREL,1.64E-05,0.000254021,8.04E-05,3.59E-05,0.000451671,0.000484144
LAUREN,0.000120118,0.001003316,0.00028575,0.000131786,0.000903342,0.001452433
LAURENCE,2.18E-05,0.000208872,0.000151805,6.59E-05,0.000225836,0
LAURENE,0,1.92E-05,0,5.99E-06,0,0
LAURENT,0,1.96E-05,3.57E-05,1.20E-05,0,0
LAURETTA,5.46E-06,1.82E-05,8.93E-06,0,0,0
LAURI,1.09E-05,9.30E-05,8.93E-06,0,0,0
LAURIE,0.000185637,0.001242288,0.000133945,0.000119806,0.000677507,0.000968289
LAURIN,0,9.12E-06,0,0,0,0
LAURO,0.000185637,1.82E-06,0,4.19E-05,0,0
LAVERN,0,1.78E-05,0.000116086,0,0,0
LAVERNE,1.64E-05,4.24E-05,0.000464344,1.20E-05,0,0
LAVON,0,1.32E-05,5.36E-05,5.99E-06,0,0
LAVONNE,1.09E-05,3.51E-05,8.04E-05,0,0,0
LAWANDA,0,4.10E-06,0.000250031,0,0,0
LAWRENCE,0.000551452,0.001898091,0.0017145,0.000682892,0.001129178,0.001694505
LAYNE,0,3.37E-05,0,2.40E-05,0,0
LAZARO,0.000365814,1.37E-06,0,2.40E-05,0.000225836,0
LE,0,5.02E-06,8.93E-06,0.00042531,0,0
LEA,3.28E-05,0.00010626,3.57E-05,0.000125796,0,0
LEAH,7.64E-05,0.000441915,0.000241102,0.000167728,0.000225836,0.000726216
LEANDRO,0.000158338,3.65E-06,0,3.59E-05,0,0
LEANN,4.37E-05,0.000114469,2.68E-05,3.59E-05,0.000451671,0.000242072
LEANNA,1.09E-05,4.06E-05,2.68E-05,3.59E-05,0,0
LEANNE,3.82E-05,0.000171932,8.93E-06,3.59E-05,0.000225836,0.000242072
LEE,0.000131038,0.001028399,0.000991195,0.00062299,0.000451671,0.000242072
LEEANN,5.46E-06,6.52E-05,1.79E-05,3.00E-05,0,0
LEENA,5.46E-06,8.21E-06,0,0.000185699,0,0
LEESA,5.46E-06,2.23E-05,8.93E-06,0,0,0
LEI,5.46E-06,1.37E-06,0,0.000670912,0,0
LEIF,5.46E-06,4.01E-05,0,0,0,0.000242072
LEIGH,1.64E-05,0.000272263,8.04E-05,4.79E-05,0.000225836,0
LEIGHTON,0,1.14E-05,8.93E-05,2.40E-05,0,0
LEILA,5.46E-05,5.56E-05,8.93E-05,0.000125796,0,0
LEILANI,1.64E-05,1.96E-05,1.79E-05,0.000137777,0,0.000242072
LEISA,0,2.87E-05,3.57E-05,0,0,0
LELA,1.09E-05,2.10E-05,0.000133945,0,0,0
LELAND,5.46E-06,0.000103524,5.36E-05,8.99E-05,0,0
LELIA,2.18E-05,7.75E-06,8.93E-05,5.99E-06,0,0
LEN,0,1.64E-05,3.57E-05,5.39E-05,0,0
LENA,6.55E-05,9.71E-05,0.00029468,0.000161738,0.000451671,0
LENARD,0,1.23E-05,2.68E-05,1.80E-05,0,0
LENNY,2.18E-05,1.32E-05,2.68E-05,3.59E-05,0,0
LENORA,1.64E-05,3.60E-05,0.000214313,2.40E-05,0.000225836,0
LENORE,2.73E-05,6.93E-05,6.25E-05,1.20E-05,0,0
LEO,0.000294835,0.000299171,0.000312539,0.000377388,0.000225836,0.000242072
LEOBARDO,0.000245696,0,0,0,0,0
LEON,0.000120118,0.000230307,0.001178719,0.000173718,0.000903342,0.000242072
LEONA,1.64E-05,7.11E-05,0.000142875,3.00E-05,0,0
LEONARD,0.000327595,0.000739261,0.001160859,0.000233621,0.000451671,0.001210361
LEONARDO,0.000917266,2.51E-05,8.93E-06,0.000197679,0,0
LEONEL,0.000704329,5.02E-06,1.79E-05,1.20E-05,0,0
LEONID,1.09E-05,6.61E-05,0,5.99E-06,0,0
LEONOR,0.000311215,5.02E-06,8.93E-06,4.79E-05,0,0
LEONORA,3.28E-05,1.19E-05,4.46E-05,0.000131786,0,0
LEOPOLDO,0.000600591,5.47E-06,0,7.79E-05,0,0.000242072
LEORA,0,1.37E-05,0,1.20E-05,0,0.000484144
LEROY,0.000136498,0.000195647,0.001384102,3.59E-05,0.000677507,0.000726216
LES,0,2.78E-05,0,1.80E-05,0.000225836,0
LESA,0,6.43E-05,7.14E-05,0,0.000225836,0
LESLEE,0,3.10E-05,0,0,0,0
LESLEY,4.91E-05,0.000182421,0.000133945,5.99E-05,0.000451671,0.000484144
LESLI,2.18E-05,2.60E-05,0,5.99E-06,0,0
LESLIE,0.000387654,0.001674626,0.001285875,0.000383378,0.001355014,0.001694505
LESLY,5.46E-05,1.00E-05,8.93E-05,5.99E-06,0.000225836,0
LESTER,8.74E-05,0.000194735,0.000544711,0.000113815,0.000225836,0.000484144
LESZEK,0,1.60E-05,0,5.99E-06,0,0
LETA,0,2.33E-05,8.93E-06,5.99E-06,0,0
LETHA,0,1.73E-05,5.36E-05,0,0,0
LETICIA,0.002456962,4.61E-05,7.14E-05,0.00022164,0,0.000484144
LETITIA,2.73E-05,2.33E-05,0.000142875,1.80E-05,0,0
LEVI,2.73E-05,6.89E-05,8.93E-05,3.00E-05,0,0
LEVON,0,1.87E-05,4.46E-05,5.99E-06,0,0.000242072
LEWIS,3.28E-05,0.000285945,0.000419695,7.19E-05,0.000677507,0
LEX,0,7.75E-06,0,0,0,0
LEZLIE,0,1.55E-05,0,5.99E-06,0,0
LI,1.09E-05,1.82E-06,0,0.001761143,0,0
LIA,3.28E-05,2.46E-05,2.68E-05,3.59E-05,0.000225836,0.000242072
LIAM,5.46E-06,2.92E-05,0,5.99E-06,0,0
LIAN,5.46E-06,1.37E-06,8.93E-06,0.000197679,0,0
LIANA,6.55E-05,2.55E-05,2.68E-05,1.80E-05,0,0
LIANE,5.46E-06,2.74E-05,8.93E-06,7.19E-05,0,0
LIANG,0,4.56E-07,0,0.00041333,0,0
LIANNE,0,1.73E-05,0,3.00E-05,0,0
LIBBY,1.09E-05,2.42E-05,0,0,0,0
LIDA,3.28E-05,1.87E-05,0,3.59E-05,0,0
LIDIA,0.00063335,3.56E-05,1.79E-05,3.00E-05,0,0
LIEM,5.46E-06,4.56E-07,0,0.000227631,0,0
LIEN,0,0,0,0.000479223,0,0
LIESL,0,1.41E-05,0,0,0,0
LIGIA,0.000212937,5.93E-06,0,0,0,0
LIHUA,0,0,0,0.000113815,0,0
LIISA,0,7.75E-06,0,0,0,0
LILA,2.73E-05,5.61E-05,1.79E-05,4.19E-05,0.000225836,0
LILI,2.18E-05,9.58E-06,0,0.000155747,0,0.000242072
LILIA,0.00062243,2.42E-05,2.68E-05,0.000185699,0,0.000242072
LILIAN,0.000256616,2.05E-05,3.57E-05,0.000137777,0,0.000242072
LILIANA,0.000687949,2.14E-05,0,1.20E-05,0.000225836,0
LILIBETH,2.73E-05,4.10E-06,0,0.000107825,0,0
LILIYA,0,1.64E-05,8.93E-06,5.99E-06,0,0
LILLIAN,0.000447713,0.000211608,0.000598289,0.000365407,0.000225836,0.000242072
LILLIE,5.46E-06,2.33E-05,0.000607219,1.20E-05,0,0
LILLY,4.91E-05,1.14E-05,1.79E-05,0.000113815,0,0
LILY,0.000109198,3.56E-05,2.68E-05,0.000934484,0,0.000242072
LIMING,0,0,0,0.000131786,0,0
LIN,0,6.84E-06,0,0.000658931,0,0.000242072
LINA,0.000218397,4.51E-05,2.68E-05,0.000335456,0,0
LINCOLN,2.73E-05,3.37E-05,0.000160734,6.59E-05,0,0
LINDA,0.001856371,0.006854016,0.004509492,0.001845007,0.002935863,0.005325587
LINDSAY,2.73E-05,0.000469278,8.04E-05,3.00E-05,0,0.000484144
LINDSEY,3.82E-05,0.000401326,8.93E-05,9.58E-05,0.000225836,0.000484144
LINDY,0,3.56E-05,0,4.19E-05,0,0
LINETTE,1.09E-05,1.50E-05,2.68E-05,0,0,0
LING,5.46E-06,9.12E-07,0,0.000551106,0,0
LINH,0,3.19E-06,0,0.000934484,0,0
LINNEA,1.09E-05,2.65E-05,0,0,0,0.000242072
LINO,0.000180177,6.84E-06,0,1.20E-05,0,0
LINSEY,5.46E-06,1.37E-05,8.93E-06,1.20E-05,0,0
LINWOOD,5.46E-06,1.19E-05,0.000223242,0,0,0
LIONEL,9.83E-05,3.97E-05,0.000375047,5.39E-05,0.000225836,0.000242072
LIOR,0,9.12E-06,0,0,0,0
LISA,0.001698034,0.006243818,0.003062883,0.001455639,0.003613369,0.004115226
LISANDRO,8.19E-05,0,0,0,0,0
LISBETH,5.46E-05,1.50E-05,1.79E-05,0,0,0
LISE,5.46E-06,2.33E-05,2.68E-05,0,0,0
LISETTE,0.000158338,1.32E-05,0,1.80E-05,0,0
LISSA,1.64E-05,1.92E-05,0,5.99E-06,0,0
LISSETTE,0.000174717,4.10E-06,0,0,0,0
LITA,1.64E-05,9.12E-06,1.79E-05,8.39E-05,0,0.000242072
LIV,0,7.30E-06,0,0,0,0
LIVIA,4.37E-05,1.09E-05,8.93E-06,5.99E-06,0,0
LIVIU,0,8.67E-06,0,0,0,0
LIXIN,0,0,0,0.000143767,0,0
LIZ,9.28E-05,1.05E-05,0,1.80E-05,0,0
LIZA,0.000109198,5.15E-05,4.46E-05,0.000185699,0,0.000242072
LIZABETH,3.28E-05,3.42E-05,0,5.99E-06,0,0
LIZBETH,0.000125578,1.37E-05,0,0,0,0
LIZETTE,0.000158338,5.93E-06,1.79E-05,1.20E-05,0,0
LJILJANA,0,9.12E-06,0,0,0,0
LLOYD,2.73E-05,0.000301907,0.000705445,0.000155747,0,0.000242072
LOAN,0,1.82E-06,0,0.000461252,0,0
LOC,5.46E-06,4.56E-07,0,0.000533135,0,0
LOGAN,0,5.93E-05,3.57E-05,1.20E-05,0,0.000484144
LOI,5.46E-06,4.56E-07,0,0.000263572,0.000225836,0
LOIS,3.82E-05,0.000560489,0.000625078,9.58E-05,0.000225836,0.000484144
LOLA,4.91E-05,5.47E-05,0.00029468,1.20E-05,0.000225836,0.000242072
LOLITA,5.46E-05,1.09E-05,0.000214313,0.000245602,0,0
LON,5.46E-06,6.16E-05,2.68E-05,4.79E-05,0,0
LONA,5.46E-06,2.01E-05,0,5.99E-06,0,0.000242072
LONG,1.09E-05,4.56E-07,0,0.001084241,0,0.000242072
LONI,0,1.69E-05,8.93E-06,0,0,0
LONNA,0,1.50E-05,8.93E-06,0,0,0
LONNIE,2.18E-05,0.00020568,0.000482203,2.40E-05,0.000451671,0.000242072
LONNY,0,2.74E-05,0,0,0,0
LORA,3.28E-05,0.000181509,0.000107156,1.20E-05,0.000451671,0.000242072
LORAINE,2.18E-05,3.88E-05,0.000116086,1.80E-05,0,0
LOREE,0,2.14E-05,0,0,0,0
LOREEN,1.09E-05,1.82E-05,1.79E-05,1.20E-05,0,0
LORELEI,5.46E-06,2.51E-05,1.79E-05,3.00E-05,0,0
LOREN,4.91E-05,0.000212977,7.14E-05,4.19E-05,0.000225836,0.000242072
LORENA,0.001506937,4.65E-05,1.79E-05,3.59E-05,0.000451671,0
LORENE,5.46E-06,4.74E-05,6.25E-05,5.99E-06,0,0
LORENZA,0.000109198,1.37E-06,7.14E-05,1.20E-05,0,0
LORENZO,0.000808068,2.69E-05,0.000464344,0.000101835,0.000225836,0
LORETO,8.19E-05,5.47E-06,0,7.79E-05,0,0
LORETTA,0.000174717,0.000377156,0.000696516,8.99E-05,0.000225836,0.000968289
LORI,0.000251156,0.002517867,0.000401836,0.000407339,0.001806685,0.001452433
LORIANN,5.46E-06,2.28E-05,0,0,0,0
LORIE,3.82E-05,0.000112645,8.93E-05,2.40E-05,0,0.000242072
LORILEE,0,1.28E-05,0,0,0,0
LORIN,5.46E-06,3.51E-05,0,1.80E-05,0.000225836,0
LORINDA,1.09E-05,1.96E-05,1.79E-05,5.99E-06,0,0
LORNA,2.18E-05,0.000111733,0.000330398,0.000245602,0.000451671,0.000242072
LORNE,0,1.78E-05,3.57E-05,5.99E-06,0,0
LORRAINE,0.000382194,0.000576907,0.000714375,0.000191689,0.000451671,0.000484144
LORRI,1.09E-05,5.24E-05,2.68E-05,0,0,0
LORRIE,2.18E-05,9.21E-05,1.79E-05,1.80E-05,0,0
LORY,1.09E-05,1.50E-05,0,5.99E-06,0,0.000242072
LOTTIE,0,9.12E-06,8.04E-05,0,0.000225836,0
LOU,1.64E-05,8.48E-05,6.25E-05,4.79E-05,0.000225836,0
LOUANN,5.46E-06,3.28E-05,0,5.99E-06,0,0
LOUANNE,0,1.19E-05,0,0,0,0
LOUELLA,5.46E-06,9.12E-06,5.36E-05,4.79E-05,0,0
LOUIE,0.000191097,2.74E-05,4.46E-05,7.19E-05,0.000677507,0
LOUIS,0.001113823,0.000984618,0.001205508,0.000383378,0.001580849,0.000242072
LOUISA,0,3.06E-05,3.57E-05,0.000107825,0,0
LOUISE,0.000109198,0.000416832,0.000589359,0.000125796,0,0.001210361
LOURDES,0.00129946,3.60E-05,5.36E-05,0.000359417,0,0.000242072
LOWELL,0,0.00010626,4.46E-05,1.20E-05,0,0
LOYD,0,2.23E-05,8.93E-06,5.99E-06,0,0
LU,0,1.28E-05,0,0.000155747,0,0
LUAN,5.46E-06,6.84E-06,0,0.000131786,0,0
LUANA,1.64E-05,1.37E-05,0,1.80E-05,0,0
LUANN,1.09E-05,9.21E-05,0,1.20E-05,0,0
LUANNE,5.46E-06,6.02E-05,0,1.80E-05,0,0
LUC,0,1.05E-05,3.57E-05,6.59E-05,0,0
LUCA,1.09E-05,1.28E-05,0,0,0,0
LUCAS,0.000185637,0.000182877,8.93E-06,4.19E-05,0.000225836,0
LUCIA,0.000808068,7.21E-05,7.14E-05,0.000149757,0,0
LUCIAN,0,1.46E-05,0,1.20E-05,0,0
LUCIANA,4.91E-05,1.28E-05,1.79E-05,1.80E-05,0,0
LUCIANO,0.000278456,1.69E-05,0,3.00E-05,0.000225836,0
LUCIE,5.46E-06,1.64E-05,2.68E-05,1.80E-05,0,0
LUCIEN,5.46E-06,1.64E-05,2.68E-05,1.20E-05,0,0
LUCILA,0.000283916,1.82E-06,0,4.19E-05,0,0
LUCILLE,0.000174717,0.000171476,0.000383977,5.39E-05,0.000225836,0
LUCINDA,5.46E-05,0.000124958,0.000125016,4.19E-05,0,0.000242072
LUCIO,0.000365814,5.02E-06,0,1.20E-05,0,0
LUCRETIA,5.46E-06,1.46E-05,7.14E-05,0,0,0
LUCY,0.000496852,0.000186982,0.00028575,0.000347436,0.000903342,0
LUCYNA,0,9.12E-06,0,0,0,0
LUDMILA,5.46E-06,1.46E-05,0,0,0,0
LUIGI,1.64E-05,4.15E-05,0,0,0,0
LUIS,0.012874482,0.000135448,2.68E-05,0.000233621,0.000225836,0
LUISA,0.000480473,2.10E-05,3.57E-05,7.19E-05,0,0
LUIZ,8.74E-05,7.30E-06,0,0,0.000225836,0
LUKAS,0,1.32E-05,0,0,0,0
LUKASZ,0,1.50E-05,0,0,0,0
LUKE,3.28E-05,0.000288225,3.57E-05,0.000167728,0.000225836,0.000242072
LULA,1.09E-05,1.50E-05,0.000339328,0,0,0
LUPE,0.000513232,1.14E-05,0,0,0,0
LUTHER,5.46E-06,4.65E-05,0.000383977,0,0,0
LUZ,0.002336844,2.33E-05,8.93E-06,0.000227631,0.000225836,0
LY,0,4.56E-07,0,0.000311495,0,0
LYDIA,0.000753468,0.000204768,0.000428625,0.000305504,0.000225836,0
LYLE,1.64E-05,0.000166459,2.68E-05,3.59E-05,0,0.000242072
LYMAN,0,1.92E-05,1.79E-05,0,0,0
LYN,0,5.56E-05,0,3.59E-05,0,0.000242072
LYNDA,9.28E-05,0.000434162,0.00029468,9.58E-05,0.000451671,0.000726216
LYNDON,5.46E-06,1.69E-05,6.25E-05,4.79E-05,0,0
LYNDSAY,5.46E-06,2.01E-05,0,0,0,0
LYNDSEY,5.46E-06,1.92E-05,8.93E-06,0,0.000225836,0
LYNETTE,6.55E-05,0.000218905,0.000357188,0.000113815,0,0
LYNN,0.000185637,0.001572014,0.000526852,0.000616999,0.001355014,0.000484144
LYNNE,4.37E-05,0.00051762,0.000142875,7.79E-05,0,0.000242072
LYNNETTE,2.73E-05,7.16E-05,7.14E-05,3.00E-05,0,0.000484144
LYUBOV,5.46E-06,2.60E-05,0,0,0,0
LYUDMILA,1.09E-05,4.10E-05,0,0,0,0
MA,4.91E-05,1.37E-06,0,0.000143767,0,0
MABEL,0.000163797,2.37E-05,0.000232172,0.000155747,0,0
MABLE,0,4.10E-06,0.000205383,3.59E-05,0,0
MAC,5.46E-06,1.14E-05,4.46E-05,1.80E-05,0,0
MACIEJ,0,1.78E-05,0,0,0,0
MACK,1.09E-05,3.19E-05,0.000205383,1.20E-05,0,0.000242072
MACKENZIE,5.46E-06,2.51E-05,8.93E-06,0,0.000225836,0
MADELEINE,1.09E-05,3.92E-05,2.68E-05,4.79E-05,0,0.000242072
MADELINE,9.83E-05,0.000119486,0.000151805,4.19E-05,0,0.000484144
MADELYN,3.82E-05,4.10E-05,2.68E-05,3.59E-05,0,0.000242072
MADHAVI,0,2.28E-06,0,0.000227631,0.000225836,0
MADHU,0,4.56E-06,0,0.000293524,0.000225836,0
MADONNA,1.09E-05,3.24E-05,1.79E-05,2.40E-05,0,0.000242072
MAE,5.46E-06,2.42E-05,0.000392906,0.000125796,0,0
MAGALY,0.000152878,2.28E-06,0,0,0,0
MAGDA,0.000152878,1.78E-05,0,1.20E-05,0,0
